model,group,val_f1_macro,test_f1_macro,val_accuracy,test_accuracy
LightGBM,tabular,1.0,1.0,1.0,1.0
RandomForest,tabular,0.9999141732522743,0.9998216717669766,0.999940058443018,0.9998951022752816
LSTM,sequence,0.7656008181613769,0.7863198499644938,0.8559210690645686,0.8875134257524666
BiGRU,sequence,0.5997237384715554,0.6399442244918389,0.6155863619333084,0.6879180716872736
