accuracy,loss,val_accuracy,val_loss,learning_rate
0.8986406922340393,0.4865366816520691,0.30126139521598816,1.062288522720337,0.0010000000474974513
0.908732533454895,0.1726006716489792,0.5298163890838623,0.965011715888977,0.0010000000474974513
0.9123387336730957,0.1766609102487564,0.588545024394989,0.8971858024597168,0.0010000000474974513
0.9145352244377136,0.13783638179302216,0.5677332282066345,0.9177452325820923,0.0010000000474974513
0.9169254302978516,0.15389384329319,0.6146871447563171,0.8394423127174377,0.0010000000474974513
0.9166107177734375,0.1274811178445816,0.6060796976089478,0.8709099888801575,0.0010000000474974513
0.9177978038787842,0.16472621262073517,0.610625684261322,0.8598290681838989,0.0010000000474974513
0.9180461764335632,0.17289458215236664,0.6155863404273987,0.8380686640739441,0.0005000000237487257
0.9183148145675659,0.15084974467754364,0.6006344556808472,0.902764618396759,0.0005000000237487257
0.9176982641220093,0.13438452780246735,0.6135281920433044,0.8759384751319885,0.0005000000237487257
0.9181820750236511,0.15429452061653137,0.6157612204551697,0.8635883331298828,0.0002500000118743628
0.9176715016365051,0.10545537620782852,0.6189833879470825,0.8662328124046326,0.0002500000118743628
0.9188414812088013,0.10501444339752197,0.6190932989120483,0.8467151522636414,0.0001250000059371814
