split,accuracy,f1_macro,f1_weighted,recall_macro
validation,0.6155863619333084,0.5997237384715554,0.6434861725480627,0.7249059114399523
test,0.6879180716872736,0.6399442244918389,0.7242950219782774,0.7713918895542424
